"Day","Cash On Hand"
0,3500000
1,3487400
2,3279560
3,3073867
4,92926
5,36773
6,28320
7,17148
8,77296
9,36359
10,339498
11,395471
12,307746
13,676149
14,70384
15,102637
16,543766
17,590181
18,232472
19,104978
20,79867
21,604024
22,360312
23,281623
24,530036
25,394591
26,155101
27,282429
28,312574
29,590832
30,194194
31,258969
32,607423
33,269124
34,175324
35,215492
36,211502
37,517651
38,312742
39,322840
40,232285
41,318727
42,195624
43,228159
44,570573
45,554104
46,84741
47,378665
48,68607
49,108379
50,341124
51,236892
52,1040887
53,1828945
54,2112600
55,2202966
56,2140868
57,3180397
58,3589509
59,3664598
60,3711182
61,3696678
62,3507084
63,3711003
64,3971198
65,4437703
66,4371079
67,4517882
68,4782595
69,4767459
70,4654802
71,4651382
72,4179569
73,3548259
74,3023643
75,4013579
76,4388363
77,4098691
78,4488828
79,5953802
80,6214030
81,5754211
82,4897448
83,3414446
84,4413044
85,3501604
86,2545239
87,3162243
88,4002045
89,5127647
90,6097099