"Day ","Items ","Note ","Amount "
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Salary Expense","Cash Payment - Salary Expense","31944"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15828","22"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"90","Rental Expense","Cash Payment - Rental - New York","8040"
"90","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"90","Rental Expense","Cash Payment - Rental - Detroit","1200"
"90","Rental Expense","Cash Payment - Rental - Chicago","3700"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Salary Expense","Cash Payment - Salary Expense","31944"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15625","134"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"89","Rental Expense","Cash Payment - Rental - New York","8040"
"89","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"89","Rental Expense","Cash Payment - Rental - Detroit","1200"
"89","Rental Expense","Cash Payment - Rental - Chicago","3700"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","31944"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14922","89"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15077","76"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15411","135"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15434","205"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15446","197"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"88","Rental Expense","Cash Payment - Rental - New York","8040"
"88","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"88","Rental Expense","Cash Payment - Rental - Detroit","1200"
"88","Rental Expense","Cash Payment - Rental - Chicago","3700"
"87","Salary Expense","Cash Payment - Salary Expense","31944"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15243","235"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 15256","152"
"87","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 11313","5500"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","636"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"87","Rental Expense","Cash Payment - Rental - New York","8040"
"87","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"87","Rental Expense","Cash Payment - Rental - Detroit","1200"
"87","Rental Expense","Cash Payment - Rental - Chicago","3700"
"86","Human Resource Expense","Counselled","2000"
"86","Human Resource Expense","Attended Training","15000"
"86","Human Resource Expense","Counselled","2000"
"86","Salary Expense","Cash Payment - Salary Expense","31944"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","582"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"86","Rental Expense","Cash Payment - Rental - New York","8040"
"86","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"86","Rental Expense","Cash Payment - Rental - Detroit","1200"
"86","Rental Expense","Cash Payment - Rental - Chicago","3700"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Salary Expense","Cash Payment - Salary Expense","31922"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 328","15000"
"85","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 11482","2200"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","492"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"85","Rental Expense","Cash Payment - Rental - New York","8040"
"85","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"85","Rental Expense","Cash Payment - Rental - Detroit","1200"
"85","Rental Expense","Cash Payment - Rental - Chicago","3700"
"84","Salary Expense","Cash Payment - Salary Expense","31797"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14519","211"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14681","148"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 342","15000"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","492"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"84","Rental Expense","Cash Payment - Rental - New York","8040"
"84","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"84","Rental Expense","Cash Payment - Rental - Detroit","1200"
"84","Rental Expense","Cash Payment - Rental - Chicago","3700"
"83","Salary Expense","Cash Payment - Salary Expense","31772"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14490","185"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14499","359"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14505","132"
"83","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 10602","2200"
"83","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 11035","5500"
"83","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","489"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"83","Rental Expense","Cash Payment - Rental - New York","8040"
"83","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"83","Rental Expense","Cash Payment - Rental - Detroit","1200"
"83","Rental Expense","Cash Payment - Rental - Chicago","3700"
"82","Salary Expense","Cash Payment - Salary Expense","31572"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14303","106"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14321","87"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"82","Rental Expense","Cash Payment - Rental - New York","8040"
"82","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"82","Rental Expense","Cash Payment - Rental - Detroit","1200"
"82","Rental Expense","Cash Payment - Rental - Chicago","3700"
"81","Salary Expense","Cash Payment - Salary Expense","31272"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14101","130"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14134","210"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"81","Rental Expense","Cash Payment - Rental - New York","8040"
"81","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"81","Rental Expense","Cash Payment - Rental - Detroit","1200"
"81","Rental Expense","Cash Payment - Rental - Chicago","3700"
"80","Salary Expense","Cash Payment - Salary Expense","30397"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13946","88"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"80","Rental Expense","Cash Payment - Rental - New York","8040"
"80","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"80","Rental Expense","Cash Payment - Rental - Detroit","1200"
"80","Rental Expense","Cash Payment - Rental - Chicago","3700"
"79","Human Resource Expense","Attended Training","15000"
"79","Salary Expense","Cash Payment - Salary Expense","30397"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13755","170"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13773","173"
"79","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9898","5500"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"79","Rental Expense","Cash Payment - Rental - New York","8040"
"79","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"79","Rental Expense","Cash Payment - Rental - Detroit","1200"
"79","Rental Expense","Cash Payment - Rental - Chicago","3700"
"78","Salary Expense","Cash Payment - Salary Expense","30397"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13569","151"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13586","155"
"78","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 328","15000"
"78","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 10055","5500"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"78","Rental Expense","Cash Payment - Rental - New York","8040"
"78","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"78","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"78","Rental Expense","Cash Payment - Rental - Detroit","1200"
"78","Rental Expense","Cash Payment - Rental - Chicago","3700"
"77","Salary Expense","Cash Payment - Salary Expense","30397"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13380","234"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13390","207"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 342","15000"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"77","Rental Expense","Cash Payment - Rental - New York","8040"
"77","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"77","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"77","Rental Expense","Cash Payment - Rental - Detroit","1200"
"77","Rental Expense","Cash Payment - Rental - Chicago","3700"
"76","Salary Expense","Cash Payment - Salary Expense","30397"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"76","Rental Expense","Cash Payment - Rental - New York","8040"
"76","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"76","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"76","Rental Expense","Cash Payment - Rental - Detroit","1200"
"76","Rental Expense","Cash Payment - Rental - Chicago","3700"
"75","Human Resource Expense","Attended Training","15000"
"75","Human Resource Expense","Counselled","2000"
"75","Human Resource Expense","Counselled","2000"
"75","Human Resource Expense","Counselled","2000"
"75","Salary Expense","Cash Payment - Salary Expense","30376"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12986","219"
"75","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9155","4400"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"75","Rental Expense","Cash Payment - Rental - New York","8040"
"75","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"75","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"75","Rental Expense","Cash Payment - Rental - Detroit","1200"
"75","Rental Expense","Cash Payment - Rental - Chicago","3700"
"74","Salary Expense","Cash Payment - Salary Expense","30261"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12803","299"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12815","80"
"74","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Los Angeles","138"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"74","Rental Expense","Cash Payment - Rental - New York","8040"
"74","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"74","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"74","Rental Expense","Cash Payment - Rental - Detroit","1200"
"74","Rental Expense","Cash Payment - Rental - Chicago","3700"
"73","Salary Expense","Cash Payment - Salary Expense","30238"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12616","194"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12639","301"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"73","Rental Expense","Cash Payment - Rental - New York","8040"
"73","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"73","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"73","Rental Expense","Cash Payment - Rental - Detroit","1200"
"73","Rental Expense","Cash Payment - Rental - Chicago","3700"
"72","Salary Expense","Cash Payment - Salary Expense","30054"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12318","224"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12427","199"
"72","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12444","159"
"72","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9304","4400"
"72","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"72","Rental Expense","Cash Payment - Rental - New York","8040"
"72","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"72","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"72","Rental Expense","Cash Payment - Rental - Detroit","1200"
"72","Rental Expense","Cash Payment - Rental - Chicago","3700"
"71","Salary Expense","Cash Payment - Salary Expense","29778"
"71","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12232","199"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 328","15000"
"71","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 8725","4400"
"71","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"71","Rental Expense","Cash Payment - Rental - New York","8040"
"71","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"71","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"71","Rental Expense","Cash Payment - Rental - Detroit","1200"
"71","Rental Expense","Cash Payment - Rental - Chicago","3700"
"70","Human Resource Expense","Attended Training","15000"
"70","Salary Expense","Cash Payment - Salary Expense","28973"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12033","99"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12043","49"
"70","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 342","15000"
"70","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"70","Rental Expense","Cash Payment - Rental - New York","8040"
"70","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"70","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"70","Rental Expense","Cash Payment - Rental - Detroit","1200"
"70","Rental Expense","Cash Payment - Rental - Chicago","3700"
"69","Human Resource Expense","Attended Training","15000"
"69","Human Resource Expense","Counselled","2000"
"69","Human Resource Expense","Attended Training","15000"
"69","Human Resource Expense","Counselled","2000"
"69","Salary Expense","Cash Payment - Salary Expense","28973"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11849","68"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11863","51"
"69","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"69","Rental Expense","Cash Payment - Rental - New York","8040"
"69","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"69","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"69","Rental Expense","Cash Payment - Rental - Detroit","1200"
"69","Rental Expense","Cash Payment - Rental - Chicago","3700"
"68","Salary Expense","Cash Payment - Salary Expense","28973"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11659","114"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11689","114"
"68","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"68","Rental Expense","Cash Payment - Rental - New York","8040"
"68","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"68","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"68","Rental Expense","Cash Payment - Rental - Detroit","1200"
"68","Rental Expense","Cash Payment - Rental - Chicago","3700"
"67","Salary Expense","Cash Payment - Salary Expense","28973"
"67","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11494","80"
"67","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"67","Rental Expense","Cash Payment - Rental - New York","8040"
"67","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"67","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"67","Rental Expense","Cash Payment - Rental - Detroit","1200"
"67","Rental Expense","Cash Payment - Rental - Chicago","3700"
"66","Salary Expense","Cash Payment - Salary Expense","28973"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11306","86"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11317","76"
"66","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"66","Rental Expense","Cash Payment - Rental - New York","8040"
"66","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"66","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"66","Rental Expense","Cash Payment - Rental - Detroit","1200"
"66","Rental Expense","Cash Payment - Rental - Chicago","3700"
"65","Salary Expense","Cash Payment - Salary Expense","28953"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10950","112"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11131","23"
"65","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 7532","3300"
"65","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"65","Rental Expense","Cash Payment - Rental - New York","8040"
"65","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"65","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"65","Rental Expense","Cash Payment - Rental - Detroit","1200"
"65","Rental Expense","Cash Payment - Rental - Chicago","3700"
"64","Human Resource Expense","Attended Training","15000"
"64","Human Resource Expense","Attended Training","15000"
"64","Salary Expense","Cash Payment - Salary Expense","28843"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10810","45"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10940","105"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 328","15000"
"64","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 7483","4400"
"64","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"64","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"64","Rental Expense","Cash Payment - Rental - New York","8040"
"64","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"64","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"64","Rental Expense","Cash Payment - Rental - Detroit","1200"
"64","Rental Expense","Cash Payment - Rental - Chicago","3700"
"63","Salary Expense","Cash Payment - Salary Expense","28821"
"63","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10750","33"
"63","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 342","15000"
"63","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 7126","3300"
"63","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"63","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"63","Rental Expense","Cash Payment - Rental - New York","8040"
"63","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"63","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"63","Rental Expense","Cash Payment - Rental - Detroit","1200"
"63","Rental Expense","Cash Payment - Rental - Chicago","3700"
"62","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"62","Salary Expense","Cash Payment - Salary Expense","28645"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"62","Rental Expense","Cash Payment - Rental - New York","8040"
"62","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"62","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"62","Rental Expense","Cash Payment - Rental - Detroit","1200"
"62","Rental Expense","Cash Payment - Rental - Chicago","3700"
"61","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"61","Salary Expense","Cash Payment - Salary Expense","28381"
"61","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10317","80"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"61","Rental Expense","Cash Payment - Rental - New York","8040"
"61","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"61","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"61","Rental Expense","Cash Payment - Rental - Detroit","1200"
"61","Rental Expense","Cash Payment - Rental - Chicago","3700"
"60","Human Resource Expense","Counselled","2000"
"60","Human Resource Expense","Counselled","2000"
"60","Human Resource Expense","Counselled","2000"
"60","Human Resource Expense","Counselled","2000"
"60","Salary Expense","Cash Payment - Salary Expense","27611"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"60","Rental Expense","Cash Payment - Rental - New York","8040"
"60","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"60","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"60","Rental Expense","Cash Payment - Rental - Detroit","1200"
"60","Rental Expense","Cash Payment - Rental - Chicago","3700"
"59","Salary Expense","Cash Payment - Salary Expense","27611"
"59","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10059","14"
"59","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10073","31"
"59","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"59","Rental Expense","Cash Payment - Rental - Los Angeles","1200"
"59","Rental Expense","Cash Payment - Rental - New York","8040"
"59","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"59","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"59","Rental Expense","Cash Payment - Rental - Detroit","1200"
"59","Rental Expense","Cash Payment - Rental - Chicago","3700"
"58","Salary Expense","Cash Payment - Salary Expense","27611"
"58","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9875","55"
"58","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9885","62"
