"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,220440,-220440
3,0,0,377160,-377160
4,46117,17951,464618,-446667
5,92054,36040,600457,-564417
6,137216,53891,660738,-606847
7,181684,72663,721868,-649205
8,288453,136656,775155,-638499
9,332855,155471,867160,-711689
10,708120,282546,945952,-663406
11,1123970,428659,1001087,-572428
12,1473587,519717,1055095,-535378
13,3385819,976908,1106611,-129703
14,3876466,1173700,1191007,-17307
15,3984356,1201736,1273310,-71574
16,4027603,1165021,1326399,-161378
17,5319761,1412024,1409043,2981
18,5586314,1537956,1461984,75972
19,5717158,1534409,1515507,18902
20,5793600,1545761,1569971,-24210
21,7730706,2193468,1739586,453882
22,7935186,2335175,1832112,503063
23,8595396,2564039,1952677,611362
24,8764353,2657938,2029306,628632
25,8858349,2691803,2083554,608249
26,8953895,2692631,2142145,550486
27,9111829,2735556,2196795,538761
28,9205244,2755270,2266731,488539
29,10238898,3193096,2403793,789303
30,10347719,3247139,2458951,788188
31,10469283,3308683,2518823,789860
32,11565816,3734076,2648568,1085508
33,13126934,4298127,2748745,1549382
34,13282556,4422655,2807792,1614863
35,13390999,4465092,2882733,1582359
36,13457471,4502892,2959861,1543031
37,13846344,4721867,3019928,1701939
38,15422921,5314093,3092384,2221709
39,15793908,5491341,3182200,2309141
40,16785389,5781154,3245352,2535802
41,16868766,5797374,3325331,2472043
42,19118445,6351871,3427824,2924047
43,19352806,6504109,3520076,2984033
44,20112442,6748537,3576683,3171854
45,20201797,6789309,3652320,3136989
46,20299699,6845435,3733497,3111938
47,21010795,7005565,3794683,3210882
48,21090643,7046650,3854885,3191765
49,22516879,7503735,3933611,3570124
50,23596062,7915147,4005465,3909682
51,23848432,7995162,4107907,3887255
52,24718501,8240849,4165609,4075240
53,25854756,8685048,4223302,4461746
54,26543420,8957549,4311192,4646357
55,26748354,9108847,4384334,4724513
56,26867290,9142614,4457530,4685084
57,27973105,9649379,4530482,5118897
58,28543877,9946882,4588420,5358462
59,28670122,9975643,4646242,5329401
60,28968224,10092240,4712019,5380221
61,29025681,10096256,4790646,5305610
62,29073521,10096349,4869457,5226892
63,29348094,10332272,4946777,5385495
64,29723528,10447425,5052003,5395422
65,30245921,10662472,5107891,5554581
66,30371988,10722220,5160526,5561694
67,30597864,10783785,5213079,5570706
68,30915278,11014505,5265780,5748725
69,31176149,11246120,5352372,5893748
70,31341660,11355804,5434993,5920811
71,31502797,11436730,5507870,5928860
72,31584268,11492595,5566406,5926189
73,31767600,11636512,5620639,6015873
74,31895318,11737884,5674917,6062967
75,32969285,11909759,5754412,6155347
76,33397966,12074277,5808309,6265968
77,33505022,12150393,5877647,6272746
78,33969862,12528547,5952350,6576197
79,35695810,12755514,6034090,6721424
80,36221607,13005630,6088075,6917555
81,36517300,13206670,6143187,7063483
82,36943146,13530244,6198452,7331792
83,37017178,13562550,6262589,7299961
84,38485583,13986780,6333737,7653043
85,38611617,14078100,6431851,7646249
86,38742437,14132792,6506877,7625915
87,39505888,14389115,6568844,7820271
88,40456836,14568193,6679990,7888203
89,41658016,14818447,6755568,8062879
90,42702934,15136323,6831034,8305289